Invoice #;Date;Operation Type (purchase / relocation);Product;Quantity;Cost Price;Total;Supplier;Store
960000;1/1/2017; Purchase;" Tablet Type 7; Huawei";1;168;168; A;12
960001;1/1/2017; Purchase;" Speakers Type 5; Dell";1;83;83; A;12
960002;1/1/2017; Purchase;" Laptop Type 6; HP";3;770;2310; A;12
960003;1/1/2017; Purchase;" Microphone Type 2; HP";2;22;44; A;12
960004;1/1/2017; Purchase;" Speakers Type 5; HP";3;61;183; A;12
960005;1/1/2017; Purchase;" Mouse Type 6; Dell";4;22;88; A;12
960006;1/1/2017; Purchase;" Hard Drive Type 7; Dell";2;115;230; A;12
960007;1/1/2017; Purchase;" Speakers Type 2; Samsung";1;32;32; C;12
960008;1/1/2017; Purchase;" Phone Type 5; HP";2;374;748; C;12
960009;1/1/2017; Purchase;" Speakers Type 7; HP";1;27;27; C;12
960010;1/1/2017; Purchase;" Phone Type 10; Samsung";2;263;526; C;12
960011;1/1/2017; Purchase;" Charger Type 2; Huawei";4;10;40; C;12
960012;1/1/2017; Purchase;" Monitor Type 2; Dell";5;85;425; C;12
960013;1/1/2017; Purchase;" Headphones Type 5; Huawei";5;18;90; C;12
960014;1/1/2017; Purchase;" Phone Type 1; HP";4;257;1028; C;12
960015;1/1/2017; Purchase;" Hard Drive Type 8; Dell";3;80;240; C;12
960016;1/1/2017; Purchase;" Tablet Type 1; HP";2;433;866; C;12
960017;1/1/2017; Purchase;" Hard Drive Type 5; Samsung";2;55;110; C;12
960018;1/1/2017; Purchase;" Speakers Type 1; Huawei";1;40;40; C;12
960019;1/1/2017; Purchase;" Speakers Type 5; Huawei";3;80;240; C;12
960020;1/1/2017; Purchase;" Speakers Type 6; Huawei";4;16;64; C;12
960021;1/1/2017; Purchase;" Mouse Type 1; Samsung";4;4;16; C;12
960022;1/1/2017; Purchase;" Laptop Type 6; Samsung";2;1099;2198; C;12
960023;1/1/2017; Purchase;" Monitor Type 2; Huawei";3;102;306; C;12
960024;1/1/2017; Purchase;" Headphones Type 3; Samsung";4;37;148; C;12
960025;1/1/2017; Purchase;" Desktop Type 3; HP";5;178;890; C;12
960026;1/1/2017; Purchase;" Monitor Type 4; HP";1;180;180; C;12
960027;1/1/2017; Purchase;" Phone Type 11; Huawei";1;362;362; C;12
960028;1/1/2017; Purchase;" Headphones Type 6; Huawei";5;47;235; C;12
960029;1/1/2017; Purchase;" Monitor Type 2; Samsung";4;90;360; B;12
960030;1/1/2017; Purchase;" Keyboard Type 4; Samsung";2;12;24; B;12
960031;1/1/2017; Purchase;" Desktop Type 2; Huawei";1;223;223; B;12
960032;1/1/2017; Purchase;" Headphones Type 2; HP";4;27;108; A;12
960033;1/1/2017; Purchase;" Phone Type 3; Huawei";4;432;1728; A;12
960034;1/1/2017; Purchase;" Smart Watch Type 1; HP";4;264;1056; A;12
960035;1/1/2017; Purchase;" Microphone Type 2; Samsung";1;20;20; A;12
