Invoice #;Date;Operation Type (purchase / relocation);Product;Quantity;Cost Price;Total;Supplier;Store
910000;01.01.2017; Purchase;" Phone Type 9; HP";10;246;738; A;11
910001;01.01.2017; Purchase;" Headphones Type 6; HP";4;39;156; A;11
910002;01.01.2017; Purchase;" Hard Drive Type 4; HP";10;59;59; A;11
910003;01.01.2017; Purchase;" Smart Watch Type 1; HP";10;264;528; A;11
910004;01.01.2017; Purchase;" Hard Drive Type 4; Dell";10;61;305; A;11
910005;01.01.2017; Purchase;" Keyboard Type 3; Dell";2;17;34; A;11
910006;01.01.2017; Purchase;" Smart Watch Type 2; Dell";2;154;308; A;11
910007;01.01.2017; Purchase;" Tablet Type 1; Dell";10;330;1650; A;11
910008;01.01.2017; Purchase;" Memory Type 1; HP";4;33;132; A;11
910009;01.01.2017; Purchase;" Speakers Type 4; Huawei";4;46;184; A;11
910010;01.01.2017; Purchase;" Desktop Type 7; Dell";10;447;1788; A;11
910011;01.01.2017; Purchase;" Laptop Type 6; Huawei";3;855;2565; A;11
910012;01.01.2017; Purchase;" Speakers Type 2; Huawei";10;42;84; A;11
910013;01.01.2017; Purchase;" Desktop Type 5; Dell";10;231;231; A;11
910014;01.01.2017; Purchase;" Headphones Type 4; Samsung";10;27;135; A;11
910015;01.01.2017; Purchase;" Speakers Type 1; Huawei";10;50;200; A;11
910016;01.01.2017; Purchase;" Mouse Type 7; Dell";10;10;30; A;11
910017;01.01.2017; Purchase;" Tablet Type 7; Huawei";10;168;336; A;11
910018;01.01.2017; Purchase;" Tablet Type 1; Samsung";3;370;1110; A;11
910019;01.01.2017; Purchase;" Laptop Type 3; Huawei";10;1466;1466; A;11
910020;01.01.2017; Purchase;" Desktop Type 6; HP";4;336;1344; A;11
910021;01.01.2017; Purchase;" Headphones Type 2; Samsung";10;37;148; A;11
910022;01.01.2017; Purchase;" Monitor Type 4; HP";10;146;146; A;11
910023;01.01.2017; Purchase;" Phone Type 7; Huawei";10;387;387; A;11
910024;01.01.2017; Purchase;" Memory Type 4; Huawei";10;50;100; A;11
910025;01.01.2017; Purchase;" Speakers Type 3; Huawei";10;71;213; A;11
910026;01.01.2017; Purchase;" Smart Watch Type 3; HP";3;132;660; A;11
910027;01.01.2017; Purchase;" Memory Type 4; Samsung";3;53;159; A;11
910028;01.01.2017; Purchase;" Phone Type 9; HP";10;246;738; A;11
910029;01.01.2017; Purchase;" Headphones Type 6; HP";4;39;156; A;11
910030;01.01.2017; Purchase;" Hard Drive Type 4; HP";10;59;59; A;11
910031;01.01.2017; Purchase;" Smart Watch Type 1; HP";10;264;528; A;11
910032;01.01.2017; Purchase;" Hard Drive Type 4; Dell";10;61;305; A;11
910033;01.01.2017; Purchase;" Keyboard Type 3; Dell";2;17;34; A;11
910034;01.01.2017; Purchase;" Smart Watch Type 2; Dell";2;154;308; A;11
